,index,query,value,date,operator
0,0,آهنگ پیشواز سردار سلیمانی,61500,2020-01-01,همراه اول
1,1,آهنگ پیشواز همراه اول سردار سلیمانی,56050,2020-01-01,همراه اول
2,2,کد پیشواز سردار سلیمانی همراه اول,41400,2020-01-01,همراه اول
3,3,آواهای انتظار همراه اول,11050,2020-01-01,همراه اول
4,4,۷۰گیگ اینترنت رایگان همراه اول,8100,2020-01-01,همراه اول
5,5,خرید سیم کارت همراه اول رند,7050,2020-01-01,همراه اول
6,6,فعال کردن پشت خطی همراه اول,6350,2020-01-01,همراه اول
7,7,شنیدن آوای انتظار همراه اول,400,2020-01-01,همراه اول
8,8,استعلام موجودی همراه اول,400,2020-01-01,همراه اول
9,9,حذف آهنگ پیشواز همراه اول,250,2020-01-01,همراه اول
10,10,استعلام قبض همراه اول,200,2020-01-01,همراه اول
11,11,کد آهنگ پیشواز همراه اول جدید غمگین با پخش انلاین,170,2020-01-01,همراه اول
12,12,لغو آهنگ پیشواز همراه اول,160,2020-01-01,همراه اول
13,13,قیمت سهام همراه اول,140,2020-01-01,همراه اول
14,14,کدانتقال شارژ همراه اول,140,2020-01-01,همراه اول
15,15,انتقال شارژ همراه اول به ایرانسل,130,2020-01-01,همراه اول
16,16,كد وارد كردن رمز شارژ همراه اول,120,2020-01-01,همراه اول
17,17,لغو تمدید خودکار اینترنت همراه اول,120,2020-01-01,همراه اول
18,18,حذف پیشواز همراه اول,120,2020-01-01,همراه اول
19,19,هفتاد گیگ اینترنت رایگان همراه اول,110,2020-01-01,همراه اول
20,20,سايت همراه اول,110,2020-01-01,همراه اول
21,21,کد لغو بسته همراه اول,110,2020-01-01,همراه اول
22,22,حذف پیام های تبلیغاتی همراه اول,100,2020-01-01,همراه اول
23,23,درخواست شارژ همراه اول,100,2020-01-01,همراه اول
24,24,مشاهده ریز صورتحساب همراه اول,100,2020-01-01,همراه اول
25,0,انتقال شارژ همراه اول به شخص دیگر,3800,2020-02-01,همراه اول
26,1,mci,350,2020-02-01,همراه اول
27,2,سهام عدالت,350,2020-02-01,همراه اول
28,3,پرداخت قبض تلفن ثابت,300,2020-02-01,همراه اول
29,4,نحوه وارد كردن رمز شارژ همراه اول,250,2020-02-01,همراه اول
30,5,varzesh3,200,2020-02-01,همراه اول
31,6,بهترین بسته اینترنت همراه اول,200,2020-02-01,همراه اول
32,7,دائمي كردن خط اعتباري همراه اول,200,2020-02-01,همراه اول
33,8,کد پیشواز همراه اول از آرون افشار,200,2020-02-01,همراه اول
34,9,اینترنت نامحدود ایرانسل,160,2020-02-01,همراه اول
35,10,فروش اقساطی سیم کارت همراه اول 0912,160,2020-02-01,همراه اول
36,11,mci.ir,160,2020-02-01,همراه اول
