Date,همراه اول,ایرانسل
2010-01,39,32
2010-02,36,29
2010-03,32,32
2010-04,26,29
2010-05,25,24
2010-06,39,34
2010-07,40,57
2010-08,37,42
2010-09,38,40
2010-10,36,31
2010-11,38,40
2010-12,44,42
2011-01,54,54
2011-02,60,50
2011-03,55,57
2011-04,59,54
2011-05,53,54
2011-06,54,59
2011-07,50,57
2011-08,55,62
2011-09,59,59
2011-10,59,54
2011-11,60,62
2011-12,81,64
2012-01,65,62
2012-02,68,74
2012-03,70,75
2012-04,66,67
2012-05,62,67
2012-06,61,68
2012-07,64,72
2012-08,66,77
2012-09,60,72
2012-10,64,71
2012-11,75,80
2012-12,77,80
2013-01,78,85
2013-02,74,78
2013-03,78,92
2013-04,72,79
2013-05,68,72
2013-06,62,68
2013-07,64,69
2013-08,67,68
2013-09,61,66
2013-10,69,61
2013-11,78,62
2013-12,63,57
2014-01,100,59
2014-02,86,54
2014-03,80,61
2014-04,79,53
2014-05,68,52
2014-06,66,47
2014-07,65,48
2014-08,67,52
2014-09,61,57
2014-10,67,51
2014-11,70,49
2014-12,74,49
2015-01,57,43
2015-02,55,43
2015-03,66,50
2015-04,53,44
2015-05,53,42
2015-06,55,40
2015-07,50,41
2015-08,54,45
2015-09,50,41
2015-10,61,43
2015-11,52,37
2015-12,55,39
2016-01,45,32
2016-02,45,33
2016-03,53,38
2016-04,49,35
2016-05,53,34
2016-06,53,33
2016-07,50,34
2016-08,48,34
2016-09,48,35
2016-10,51,34
2016-11,47,33
2016-12,46,30
2017-01,48,32
2017-02,53,31
2017-03,57,36
2017-04,47,32
2017-05,43,32
2017-06,45,33
2017-07,45,36
2017-08,50,35
2017-09,53,35
2017-10,48,34
2017-11,45,32
2017-12,44,32
2018-01,40,28
2018-02,41,28
2018-03,46,34
2018-04,50,32
2018-05,42,29
2018-06,49,29
2018-07,44,31
2018-08,41,27
2018-09,43,29
2018-10,40,25
2018-11,39,28
2018-12,37,25
2019-01,39,23
2019-02,38,23
2019-03,41,26
2019-04,34,23
2019-05,32,22
2019-06,33,22
2019-07,34,23
2019-08,36,24
2019-09,37,24
2019-10,34,25
2019-11,33,24
2019-12,31,23
2020-01,32,21
2020-02,32,23
2020-03,41,30
2020-04,41,30
2020-05,33,25
2020-06,31,25
2020-07,42,36
2020-08,43,37
2020-09,34,27
2020-10,32,22
2020-11,28,21
2020-12,28,23
2021-01,28,21
2021-02,29,23
2021-03,31,25
2021-04,24,20
2021-05,26,19
2021-06,31,20
2021-07,28,21
2021-08,28,20
2021-09,26,20
2021-10,24,21
2021-11,23,18
2021-12,24,18
2022-01,25,18
2022-02,23,19
2022-03,30,20
2022-04,26,19
2022-05,25,20
2022-06,25,20
2022-07,28,23
2022-08,26,25
2022-09,29,26
2022-10,26,22
2022-11,26,20
2022-12,26,22
2023-01,25,22
2023-02,25,25
2023-03,29,29
2023-04,25,25
2023-05,24,23
2023-06,25,24
2023-07,28,24
2023-08,27,24
2023-09,26,23
2023-10,24,20
2023-11,23,21
2023-12,25,21
2024-01,26,23
2024-02,24,24
2024-03,26,22
2024-04,23,21
2024-05,23,21
2024-06,27,23
2024-07,27,24
2024-08,30,25
2024-09,25,21
2024-10,22,19
2024-11,20,19
2024-12,20,18
2025-01,19,18
