,index,date,keyword,search_result
0,0,2010-01-01,ایرانسل,710
1,0,2010-02-01,ایرانسل,737
2,0,2010-03-01,ایرانسل,377
3,0,2010-04-01,ایرانسل,762
4,0,2010-05-01,ایرانسل,947
5,0,2010-06-01,ایرانسل,488
6,0,2010-07-01,ایرانسل,997
7,0,2010-08-01,ایرانسل,1100
8,0,2010-09-01,ایرانسل,1270
9,0,2010-10-01,ایرانسل,754
10,0,2010-11-01,ایرانسل,1640
11,0,2010-12-01,ایرانسل,1240
12,0,2011-01-01,ایرانسل,1350
13,0,2011-02-01,ایرانسل,805
14,0,2011-03-01,ایرانسل,1220
15,0,2011-04-01,ایرانسل,1420
16,0,2011-05-01,ایرانسل,1650
17,0,2011-06-01,ایرانسل,842
18,0,2011-07-01,ایرانسل,2280
19,0,2011-08-01,ایرانسل,2820
20,0,2011-09-01,ایرانسل,1330
21,0,2011-10-01,ایرانسل,2520
22,0,2011-11-01,ایرانسل,2770
23,0,2011-12-01,ایرانسل,2720
24,0,2012-01-01,ایرانسل,1360
25,0,2012-02-01,ایرانسل,2340
26,0,2012-03-01,ایرانسل,3010
27,0,2012-04-01,ایرانسل,3080
28,0,2012-05-01,ایرانسل,1100
29,0,2012-06-01,ایرانسل,3950
30,0,2012-07-01,ایرانسل,4530
31,0,2012-08-01,ایرانسل,4300
32,0,2012-09-01,ایرانسل,2590
33,0,2012-10-01,ایرانسل,5270
34,0,2012-11-01,ایرانسل,3520
35,0,2012-12-01,ایرانسل,2950
36,0,2013-01-01,ایرانسل,4210
37,0,2013-02-01,ایرانسل,4530
38,0,2013-03-01,ایرانسل,4640
39,0,2013-04-01,ایرانسل,3460
40,0,2013-05-01,ایرانسل,4220
41,0,2013-06-01,ایرانسل,5430
42,0,2013-07-01,ایرانسل,6140
43,0,2013-08-01,ایرانسل,4360
44,0,2013-09-01,ایرانسل,6210
45,0,2013-10-01,ایرانسل,6220
46,0,2013-11-01,ایرانسل,5190
47,0,2013-12-01,ایرانسل,6980
48,0,2014-01-01,ایرانسل,7220
49,0,2014-02-01,ایرانسل,6480
50,0,2014-03-01,ایرانسل,5530
51,0,2014-04-01,ایرانسل,6830
52,0,2014-05-01,ایرانسل,6600
53,0,2014-06-01,ایرانسل,6330
54,0,2014-07-01,ایرانسل,6600
55,0,2014-08-01,ایرانسل,6980
56,0,2014-09-01,ایرانسل,6470
57,0,2014-10-01,ایرانسل,6710
58,0,2014-11-01,ایرانسل,3150
59,0,2014-12-01,ایرانسل,6210
60,0,2015-01-01,ایرانسل,6580
61,0,2015-02-01,ایرانسل,3420
62,0,2015-03-01,ایرانسل,8020
63,0,2015-04-01,ایرانسل,8100
64,0,2015-05-01,ایرانسل,8230
65,0,2015-06-01,ایرانسل,4310
66,0,2015-07-01,ایرانسل,8520
67,0,2015-08-01,ایرانسل,8150
68,0,2015-09-01,ایرانسل,8360
69,0,2015-10-01,ایرانسل,4260
70,0,2015-11-01,ایرانسل,8060
71,0,2015-12-01,ایرانسل,7750
72,0,2016-01-01,ایرانسل,3680
73,0,2016-02-01,ایرانسل,8520
74,0,2016-03-01,ایرانسل,7670
75,0,2016-04-01,ایرانسل,6790
76,0,2016-05-01,ایرانسل,4490
77,0,2016-06-01,ایرانسل,9300
78,0,2016-07-01,ایرانسل,13400
79,0,2016-08-01,ایرانسل,13300
80,0,2016-09-01,ایرانسل,5410
81,0,2016-10-01,ایرانسل,9520
82,0,2016-11-01,ایرانسل,9180
83,0,2016-12-01,ایرانسل,13000
84,0,2017-01-01,ایرانسل,7950
85,0,2017-02-01,ایرانسل,12700
86,0,2017-03-01,ایرانسل,9800
87,0,2017-04-01,ایرانسل,4770
88,0,2017-05-01,ایرانسل,8720
89,0,2017-06-01,ایرانسل,8430
90,0,2017-07-01,ایرانسل,8880
91,0,2017-08-01,ایرانسل,4780
92,0,2017-09-01,ایرانسل,13500
93,0,2017-10-01,ایرانسل,14700
94,0,2017-11-01,ایرانسل,32200
95,0,2017-12-01,ایرانسل,26700
96,0,2018-01-01,ایرانسل,41500
97,0,2018-02-01,ایرانسل,27800
98,0,2018-03-01,ایرانسل,10200
99,0,2018-04-01,ایرانسل,18600
100,0,2018-05-01,ایرانسل,19600
101,0,2018-06-01,ایرانسل,32600
102,0,2018-07-01,ایرانسل,22300
103,0,2018-08-01,ایرانسل,37100
104,0,2018-09-01,ایرانسل,30500
105,0,2018-10-01,ایرانسل,30700
106,0,2018-11-01,ایرانسل,14000
107,0,2018-12-01,ایرانسل,32100
108,0,2019-01-01,ایرانسل,31300
109,0,2019-02-01,ایرانسل,16200
110,0,2019-03-01,ایرانسل,27700
111,0,2019-04-01,ایرانسل,27200
112,0,2019-05-01,ایرانسل,29200
113,0,2019-06-01,ایرانسل,15400
114,0,2019-07-01,ایرانسل,29900
115,0,2019-08-01,ایرانسل,30900
116,0,2019-09-01,ایرانسل,27600
117,0,2019-10-01,ایرانسل,12800
118,0,2019-11-01,ایرانسل,30600
119,0,2019-12-01,ایرانسل,36300
120,0,2020-01-01,ایرانسل,35600
121,0,2020-02-01,ایرانسل,17200
122,0,2020-03-01,ایرانسل,34000
123,0,2020-04-01,ایرانسل,37100
124,0,2020-05-01,ایرانسل,21800
125,0,2020-06-01,ایرانسل,44500
126,0,2020-07-01,ایرانسل,46500
127,0,2020-08-01,ایرانسل,46000
128,0,2020-09-01,ایرانسل,22800
129,0,2020-10-01,ایرانسل,56000
130,0,2020-11-01,ایرانسل,70700
131,0,2020-12-01,ایرانسل,71500
132,0,2021-01-01,ایرانسل,34600
133,0,2021-02-01,ایرانسل,67700
134,0,2021-03-01,ایرانسل,61000
135,0,2021-04-01,ایرانسل,28100
136,0,2021-05-01,ایرانسل,66300
137,0,2021-06-01,ایرانسل,74700
138,0,2021-07-01,ایرانسل,67600
139,0,2021-08-01,ایرانسل,32600
140,0,2021-09-01,ایرانسل,73900
141,0,2021-10-01,ایرانسل,82100
142,0,2021-11-01,ایرانسل,79300
143,0,2021-12-01,ایرانسل,38100
144,0,2022-01-01,ایرانسل,80300
145,0,2022-02-01,ایرانسل,79900
146,0,2022-03-01,ایرانسل,38100
147,0,2022-04-01,ایرانسل,66800
148,0,2022-05-01,ایرانسل,78200
149,0,2022-06-01,ایرانسل,85900
150,0,2022-07-01,ایرانسل,38700
151,0,2022-08-01,ایرانسل,74400
152,0,2022-09-01,ایرانسل,69100
153,0,2022-10-01,ایرانسل,67500
154,0,2022-11-01,ایرانسل,35800
155,0,2022-12-01,ایرانسل,68800
156,0,2023-01-01,ایرانسل,61800
157,0,2023-02-01,ایرانسل,57200
158,0,2023-03-01,ایرانسل,28200
159,0,2023-04-01,ایرانسل,59700
160,0,2023-05-01,ایرانسل,101000
161,0,2023-06-01,ایرانسل,69200
162,0,2023-07-01,ایرانسل,134000
163,0,2023-08-01,ایرانسل,137000
164,0,2023-09-01,ایرانسل,129000
165,0,2023-10-01,ایرانسل,57500
166,0,2023-11-01,ایرانسل,115000
167,0,2023-12-01,ایرانسل,120000
168,0,2024-01-01,ایرانسل,126000
169,0,2024-02-01,ایرانسل,60600
170,0,2024-03-01,ایرانسل,115000
171,0,2024-04-01,ایرانسل,114000
172,0,2024-05-01,ایرانسل,125000
173,0,2024-06-01,ایرانسل,65000
174,0,2024-07-01,ایرانسل,144000
175,0,2024-08-01,ایرانسل,109000
176,0,2024-09-01,ایرانسل,165000
177,0,2024-10-01,ایرانسل,60400
