,index,date,keyword,search_result
0,0,2010-01-01,همراه اول,961
1,0,2010-02-01,همراه اول,996
2,0,2010-03-01,همراه اول,728
3,0,2010-04-01,همراه اول,1080
4,0,2010-05-01,همراه اول,1120
5,0,2010-06-01,همراه اول,570
6,0,2010-07-01,همراه اول,1190
7,0,2010-08-01,همراه اول,1360
8,0,2010-09-01,همراه اول,2190
9,0,2010-10-01,همراه اول,925
10,0,2010-11-01,همراه اول,1780
11,0,2010-12-01,همراه اول,1880
12,0,2011-01-01,همراه اول,1600
13,0,2011-02-01,همراه اول,818
14,0,2011-03-01,همراه اول,1580
15,0,2011-04-01,همراه اول,1630
16,0,2011-05-01,همراه اول,9320
17,0,2011-06-01,همراه اول,8450
18,0,2011-07-01,همراه اول,10600
19,0,2011-08-01,همراه اول,2040
20,0,2011-09-01,همراه اول,1090
21,0,2011-10-01,همراه اول,2140
22,0,2011-11-01,همراه اول,2610
23,0,2011-12-01,همراه اول,2370
24,0,2012-01-01,همراه اول,1230
25,0,2012-02-01,همراه اول,2200
26,0,2012-03-01,همراه اول,2880
27,0,2012-04-01,همراه اول,2410
28,0,2012-05-01,همراه اول,1500
29,0,2012-06-01,همراه اول,2510
30,0,2012-07-01,همراه اول,3840
31,0,2012-08-01,همراه اول,3230
32,0,2012-09-01,همراه اول,1690
33,0,2012-10-01,همراه اول,3680
34,0,2012-11-01,همراه اول,3850
35,0,2012-12-01,همراه اول,1960
36,0,2013-01-01,همراه اول,4210
37,0,2013-02-01,همراه اول,4640
38,0,2013-03-01,همراه اول,5910
39,0,2013-04-01,همراه اول,2590
40,0,2013-05-01,همراه اول,4970
41,0,2013-06-01,همراه اول,5360
42,0,2013-07-01,همراه اول,5870
43,0,2013-08-01,همراه اول,2860
44,0,2013-09-01,همراه اول,5830
45,0,2013-10-01,همراه اول,5700
46,0,2013-11-01,همراه اول,2990
47,0,2013-12-01,همراه اول,6040
48,0,2014-01-01,همراه اول,5810
49,0,2014-02-01,همراه اول,6160
50,0,2014-03-01,همراه اول,3480
51,0,2014-04-01,همراه اول,5510
52,0,2014-05-01,همراه اول,5250
53,0,2014-06-01,همراه اول,6640
54,0,2014-07-01,همراه اول,3420
55,0,2014-08-01,همراه اول,6250
56,0,2014-09-01,همراه اول,6270
57,0,2014-10-01,همراه اول,7210
58,0,2014-11-01,همراه اول,4180
59,0,2014-12-01,همراه اول,7560
60,0,2015-01-01,همراه اول,7540
61,0,2015-02-01,همراه اول,5590
62,0,2015-03-01,همراه اول,8630
63,0,2015-04-01,همراه اول,8870
64,0,2015-05-01,همراه اول,9810
65,0,2015-06-01,همراه اول,5070
66,0,2015-07-01,همراه اول,9560
67,0,2015-08-01,همراه اول,10200
68,0,2015-09-01,همراه اول,9480
69,0,2015-10-01,همراه اول,4680
70,0,2015-11-01,همراه اول,9500
71,0,2015-12-01,همراه اول,9750
72,0,2016-01-01,همراه اول,4870
73,0,2016-02-01,همراه اول,9580
74,0,2016-03-01,همراه اول,8870
75,0,2016-04-01,همراه اول,9020
76,0,2016-05-01,همراه اول,5950
77,0,2016-06-01,همراه اول,16300
78,0,2016-07-01,همراه اول,20600
79,0,2016-08-01,همراه اول,16300
80,0,2016-09-01,همراه اول,7020
81,0,2016-10-01,همراه اول,11600
82,0,2016-11-01,همراه اول,12100
83,0,2016-12-01,همراه اول,17200
84,0,2017-01-01,همراه اول,11500
85,0,2017-02-01,همراه اول,17600
86,0,2017-03-01,همراه اول,12500
87,0,2017-04-01,همراه اول,6430
88,0,2017-05-01,همراه اول,12100
89,0,2017-06-01,همراه اول,12100
90,0,2017-07-01,همراه اول,14500
91,0,2017-08-01,همراه اول,7040
92,0,2017-09-01,همراه اول,16700
93,0,2017-10-01,همراه اول,17800
94,0,2017-11-01,همراه اول,33800
95,0,2017-12-01,همراه اول,25900
96,0,2018-01-01,همراه اول,43300
97,0,2018-02-01,همراه اول,29100
98,0,2018-03-01,همراه اول,12100
99,0,2018-04-01,همراه اول,22800
100,0,2018-05-01,همراه اول,23500
101,0,2018-06-01,همراه اول,36900
102,0,2018-07-01,همراه اول,24900
103,0,2018-08-01,همراه اول,40800
104,0,2018-09-01,همراه اول,36300
105,0,2018-10-01,همراه اول,36400
106,0,2018-11-01,همراه اول,16500
107,0,2018-12-01,همراه اول,33100
108,0,2019-01-01,همراه اول,34500
109,0,2019-02-01,همراه اول,18000
110,0,2019-03-01,همراه اول,31800
111,0,2019-04-01,همراه اول,30600
112,0,2019-05-01,همراه اول,33100
113,0,2019-06-01,همراه اول,16200
114,0,2019-07-01,همراه اول,35000
115,0,2019-08-01,همراه اول,35700
116,0,2019-09-01,همراه اول,33200
117,0,2019-10-01,همراه اول,15300
118,0,2019-11-01,همراه اول,35100
119,0,2019-12-01,همراه اول,40700
120,0,2020-01-01,همراه اول,40100
121,0,2020-02-01,همراه اول,19200
122,0,2020-03-01,همراه اول,37200
123,0,2020-04-01,همراه اول,40300
124,0,2020-05-01,همراه اول,22400
125,0,2020-06-01,همراه اول,45900
126,0,2020-07-01,همراه اول,49100
127,0,2020-08-01,همراه اول,51800
128,0,2020-09-01,همراه اول,25500
129,0,2020-10-01,همراه اول,60200
130,0,2020-11-01,همراه اول,75700
131,0,2020-12-01,همراه اول,74800
132,0,2021-01-01,همراه اول,35700
133,0,2021-02-01,همراه اول,71200
134,0,2021-03-01,همراه اول,64500
135,0,2021-04-01,همراه اول,28700
136,0,2021-05-01,همراه اول,68400
137,0,2021-06-01,همراه اول,79200
138,0,2021-07-01,همراه اول,76300
139,0,2021-08-01,همراه اول,35900
140,0,2021-09-01,همراه اول,82100
141,0,2021-10-01,همراه اول,94900
142,0,2021-11-01,همراه اول,89900
143,0,2021-12-01,همراه اول,42000
144,0,2022-01-01,همراه اول,90700
145,0,2022-02-01,همراه اول,88500
146,0,2022-03-01,همراه اول,41300
147,0,2022-04-01,همراه اول,76300
148,0,2022-05-01,همراه اول,86000
149,0,2022-06-01,همراه اول,95500
150,0,2022-07-01,همراه اول,45900
151,0,2022-08-01,همراه اول,84900
152,0,2022-09-01,همراه اول,77700
153,0,2022-10-01,همراه اول,77200
154,0,2022-11-01,همراه اول,39500
155,0,2022-12-01,همراه اول,78000
156,0,2023-01-01,همراه اول,70300
157,0,2023-02-01,همراه اول,64500
158,0,2023-03-01,همراه اول,31400
159,0,2023-04-01,همراه اول,67600
160,0,2023-05-01,همراه اول,112000
161,0,2023-06-01,همراه اول,76800
162,0,2023-07-01,همراه اول,149000
163,0,2023-08-01,همراه اول,153000
164,0,2023-09-01,همراه اول,141000
165,0,2023-10-01,همراه اول,63900
166,0,2023-11-01,همراه اول,127000
167,0,2023-12-01,همراه اول,130000
168,0,2024-01-01,همراه اول,136000
169,0,2024-02-01,همراه اول,65600
170,0,2024-03-01,همراه اول,129000
171,0,2024-04-01,همراه اول,129000
172,0,2024-05-01,همراه اول,141000
173,0,2024-06-01,همراه اول,67900
174,0,2024-07-01,همراه اول,166000
175,0,2024-08-01,همراه اول,129000
176,0,2024-09-01,همراه اول,213000
177,0,2024-10-01,همراه اول,74400
