,index,date,keyword,search_result
0,0,2010-01-01,"""ایرانسل""",790
1,0,2010-02-01,"""ایرانسل""",869
2,0,2010-03-01,"""ایرانسل""",396
3,0,2010-04-01,"""ایرانسل""",842
4,0,2010-05-01,"""ایرانسل""",1160
5,0,2010-06-01,"""ایرانسل""",699
6,0,2010-07-01,"""ایرانسل""",1440
7,0,2010-08-01,"""ایرانسل""",1520
8,0,2010-09-01,"""ایرانسل""",1330
9,0,2010-10-01,"""ایرانسل""",762
10,0,2010-11-01,"""ایرانسل""",1310
11,0,2010-12-01,"""ایرانسل""",1280
12,0,2011-01-01,"""ایرانسل""",1470
13,0,2011-02-01,"""ایرانسل""",854
14,0,2011-03-01,"""ایرانسل""",2230
15,0,2011-04-01,"""ایرانسل""",2090
16,0,2011-05-01,"""ایرانسل""",1420
17,0,2011-06-01,"""ایرانسل""",732
18,0,2011-07-01,"""ایرانسل""",2090
19,0,2011-08-01,"""ایرانسل""",2490
20,0,2011-09-01,"""ایرانسل""",1200
21,0,2011-10-01,"""ایرانسل""",2690
22,0,2011-11-01,"""ایرانسل""",2740
23,0,2011-12-01,"""ایرانسل""",2590
24,0,2012-01-01,"""ایرانسل""",1080
25,0,2012-02-01,"""ایرانسل""",2610
26,0,2012-03-01,"""ایرانسل""",2710
27,0,2012-04-01,"""ایرانسل""",2690
28,0,2012-05-01,"""ایرانسل""",1590
29,0,2012-06-01,"""ایرانسل""",4030
30,0,2012-07-01,"""ایرانسل""",3730
31,0,2012-08-01,"""ایرانسل""",4590
32,0,2012-09-01,"""ایرانسل""",1650
33,0,2012-10-01,"""ایرانسل""",4650
34,0,2012-11-01,"""ایرانسل""",7940
35,0,2012-12-01,"""ایرانسل""",1850
36,0,2013-01-01,"""ایرانسل""",5010
37,0,2013-02-01,"""ایرانسل""",4440
38,0,2013-03-01,"""ایرانسل""",4470
39,0,2013-04-01,"""ایرانسل""",2180
40,0,2013-05-01,"""ایرانسل""",5300
41,0,2013-06-01,"""ایرانسل""",5750
42,0,2013-07-01,"""ایرانسل""",9120
43,0,2013-08-01,"""ایرانسل""",3680
44,0,2013-09-01,"""ایرانسل""",7880
45,0,2013-10-01,"""ایرانسل""",9400
46,0,2013-11-01,"""ایرانسل""",4920
47,0,2013-12-01,"""ایرانسل""",7370
48,0,2014-01-01,"""ایرانسل""",8850
49,0,2014-02-01,"""ایرانسل""",9250
50,0,2014-03-01,"""ایرانسل""",4050
51,0,2014-04-01,"""ایرانسل""",8080
52,0,2014-05-01,"""ایرانسل""",6840
53,0,2014-06-01,"""ایرانسل""",7110
54,0,2014-07-01,"""ایرانسل""",4110
55,0,2014-08-01,"""ایرانسل""",9250
56,0,2014-09-01,"""ایرانسل""",9030
57,0,2014-10-01,"""ایرانسل""",10200
58,0,2014-11-01,"""ایرانسل""",4360
59,0,2014-12-01,"""ایرانسل""",6450
60,0,2015-01-01,"""ایرانسل""",7460
61,0,2015-02-01,"""ایرانسل""",4540
62,0,2015-03-01,"""ایرانسل""",9020
63,0,2015-04-01,"""ایرانسل""",9440
64,0,2015-05-01,"""ایرانسل""",9230
65,0,2015-06-01,"""ایرانسل""",7010
66,0,2015-07-01,"""ایرانسل""",13500
67,0,2015-08-01,"""ایرانسل""",10700
68,0,2015-09-01,"""ایرانسل""",12500
69,0,2015-10-01,"""ایرانسل""",4750
70,0,2015-11-01,"""ایرانسل""",11600
71,0,2015-12-01,"""ایرانسل""",10800
72,0,2016-01-01,"""ایرانسل""",6270
73,0,2016-02-01,"""ایرانسل""",12100
74,0,2016-03-01,"""ایرانسل""",10800
75,0,2016-04-01,"""ایرانسل""",9620
76,0,2016-05-01,"""ایرانسل""",4480
77,0,2016-06-01,"""ایرانسل""",15700
78,0,2016-07-01,"""ایرانسل""",17800
79,0,2016-08-01,"""ایرانسل""",19500
80,0,2016-09-01,"""ایرانسل""",7600
81,0,2016-10-01,"""ایرانسل""",19300
82,0,2016-11-01,"""ایرانسل""",13200
83,0,2016-12-01,"""ایرانسل""",23900
84,0,2017-01-01,"""ایرانسل""",12600
85,0,2017-02-01,"""ایرانسل""",21700
86,0,2017-03-01,"""ایرانسل""",14000
87,0,2017-04-01,"""ایرانسل""",7080
88,0,2017-05-01,"""ایرانسل""",11700
89,0,2017-06-01,"""ایرانسل""",12900
90,0,2017-07-01,"""ایرانسل""",11800
91,0,2017-08-01,"""ایرانسل""",6030
92,0,2017-09-01,"""ایرانسل""",15500
93,0,2017-10-01,"""ایرانسل""",20800
94,0,2017-11-01,"""ایرانسل""",36400
95,0,2017-12-01,"""ایرانسل""",38700
96,0,2018-01-01,"""ایرانسل""",53400
97,0,2018-02-01,"""ایرانسل""",36800
98,0,2018-03-01,"""ایرانسل""",16600
99,0,2018-04-01,"""ایرانسل""",32700
100,0,2018-05-01,"""ایرانسل""",22600
101,0,2018-06-01,"""ایرانسل""",61600
102,0,2018-07-01,"""ایرانسل""",30800
103,0,2018-08-01,"""ایرانسل""",44700
104,0,2018-09-01,"""ایرانسل""",45300
105,0,2018-10-01,"""ایرانسل""",37900
106,0,2018-11-01,"""ایرانسل""",18500
107,0,2018-12-01,"""ایرانسل""",45800
108,0,2019-01-01,"""ایرانسل""",40500
109,0,2019-02-01,"""ایرانسل""",23200
110,0,2019-03-01,"""ایرانسل""",37700
111,0,2019-04-01,"""ایرانسل""",35900
112,0,2019-05-01,"""ایرانسل""",33300
113,0,2019-06-01,"""ایرانسل""",18000
114,0,2019-07-01,"""ایرانسل""",49600
115,0,2019-08-01,"""ایرانسل""",37500
116,0,2019-09-01,"""ایرانسل""",40700
117,0,2019-10-01,"""ایرانسل""",17500
118,0,2019-11-01,"""ایرانسل""",37900
119,0,2019-12-01,"""ایرانسل""",66600
120,0,2020-01-01,"""ایرانسل""",60800
121,0,2020-02-01,"""ایرانسل""",23400
122,0,2020-03-01,"""ایرانسل""",44100
123,0,2020-04-01,"""ایرانسل""",49400
124,0,2020-05-01,"""ایرانسل""",33400
125,0,2020-06-01,"""ایرانسل""",57300
126,0,2020-07-01,"""ایرانسل""",71800
127,0,2020-08-01,"""ایرانسل""",55100
128,0,2020-09-01,"""ایرانسل""",29000
129,0,2020-10-01,"""ایرانسل""",68200
130,0,2020-11-01,"""ایرانسل""",77500
131,0,2020-12-01,"""ایرانسل""",87800
132,0,2021-01-01,"""ایرانسل""",50800
133,0,2021-02-01,"""ایرانسل""",118000
134,0,2021-03-01,"""ایرانسل""",84900
135,0,2021-04-01,"""ایرانسل""",32600
136,0,2021-05-01,"""ایرانسل""",82400
137,0,2021-06-01,"""ایرانسل""",97200
138,0,2021-07-01,"""ایرانسل""",121000
139,0,2021-08-01,"""ایرانسل""",44500
140,0,2021-09-01,"""ایرانسل""",104000
141,0,2021-10-01,"""ایرانسل""",123000
142,0,2021-11-01,"""ایرانسل""",122000
143,0,2021-12-01,"""ایرانسل""",57100
144,0,2022-01-01,"""ایرانسل""",98400
145,0,2022-02-01,"""ایرانسل""",105000
146,0,2022-03-01,"""ایرانسل""",51300
147,0,2022-04-01,"""ایرانسل""",88000
148,0,2022-05-01,"""ایرانسل""",89000
149,0,2022-06-01,"""ایرانسل""",126000
150,0,2022-07-01,"""ایرانسل""",46500
