,index,date,keyword,search_result
0,0,2010-01-01,"""همراه اول""",2880
1,0,2010-02-01,"""همراه اول""",2860
2,0,2010-03-01,"""همراه اول""",1350
3,0,2010-04-01,"""همراه اول""",2940
4,0,2010-05-01,"""همراه اول""",2830
5,0,2010-06-01,"""همراه اول""",1570
6,0,2010-07-01,"""همراه اول""",3630
7,0,2010-08-01,"""همراه اول""",4860
8,0,2010-09-01,"""همراه اول""",4650
9,0,2010-10-01,"""همراه اول""",3070
10,0,2010-11-01,"""همراه اول""",5480
11,0,2010-12-01,"""همراه اول""",5820
12,0,2011-01-01,"""همراه اول""",6360

,index,date,keyword,search_result
0,0,2011-02-01,"""همراه اول""",2260
1,0,2011-03-01,"""همراه اول""",4740
2,0,2011-04-01,"""همراه اول""",3580
3,0,2011-05-01,"""همراه اول""",5550
4,0,2011-06-01,"""همراه اول""",3050
5,0,2011-07-01,"""همراه اول""",4840
6,0,2011-08-01,"""همراه اول""",5110
7,0,2011-09-01,"""همراه اول""",2490
8,0,2011-10-01,"""همراه اول""",7520
9,0,2011-11-01,"""همراه اول""",6450
10,0,2011-12-01,"""همراه اول""",7540

,index,date,keyword,search_result
0,0,2012-01-01,"""همراه اول""",3230
1,0,2012-02-01,"""همراه اول""",6660
2,0,2012-03-01,"""همراه اول""",5290
3,0,2012-04-01,"""همراه اول""",7030
4,0,2012-05-01,"""همراه اول""",3490
5,0,2012-06-01,"""همراه اول""",10500
6,0,2012-07-01,"""همراه اول""",6770
7,0,2012-08-01,"""همراه اول""",8650
8,0,2012-09-01,"""همراه اول""",3230
9,0,2012-10-01,"""همراه اول""",8900
10,0,2012-11-01,"""همراه اول""",7780
11,0,2012-12-01,"""همراه اول""",3600

,date,keyword,search_result
0,2013-01-01,"""همراه اول""",9610
0,2013-02-01,"""همراه اول""",10900
0,2013-03-01,"""همراه اول""",12900
0,2013-04-01,"""همراه اول""",5890
0,2013-05-01,"""همراه اول""",13400
0,2013-06-01,"""همراه اول""",13900
0,2013-07-01,"""همراه اول""",12800
0,2013-08-01,"""همراه اول""",6220
0,2013-09-01,"""همراه اول""",15600
0,2013-10-01,"""همراه اول""",13100
0,2013-11-01,"""همراه اول""",7480
0,2013-12-01,"""همراه اول""",16900
0,2014-01-01,"""همراه اول""",12600
0,2014-02-01,"""همراه اول""",12000
0,2014-03-01,"""همراه اول""",7620
0,2014-04-01,"""همراه اول""",11400
0,2014-05-01,"""همراه اول""",12400
0,2014-06-01,"""همراه اول""",13100
0,2014-07-01,"""همراه اول""",7060
0,2014-08-01,"""همراه اول""",14200
0,2014-09-01,"""همراه اول""",14200
0,2014-10-01,"""همراه اول""",11800

,index,date,keyword,search_result
0,0,2014-11-01,"""همراه اول""",4990
1,0,2014-12-01,"""همراه اول""",10300
2,0,2015-01-01,"""همراه اول""",14200
3,0,2015-02-01,"""همراه اول""",6280
4,0,2015-03-01,"""همراه اول""",12100
5,0,2015-04-01,"""همراه اول""",21700
6,0,2015-05-01,"""همراه اول""",16800
7,0,2015-06-01,"""همراه اول""",11200
8,0,2015-07-01,"""همراه اول""",17300
9,0,2015-08-01,"""همراه اول""",17000
10,0,2015-09-01,"""همراه اول""",16200
11,0,2015-10-01,"""همراه اول""",7780
12,0,2015-11-01,"""همراه اول""",17200
13,0,2015-12-01,"""همراه اول""",17200

,date,keyword,search_result
0,2016-01-01,"""همراه اول""",8020
0,2016-02-01,"""همراه اول""",16000
0,2016-03-01,"""همراه اول""",17500
0,2016-04-01,"""همراه اول""",16600
0,2016-05-01,"""همراه اول""",8750
0,2016-06-01,"""همراه اول""",23100
0,2016-07-01,"""همراه اول""",30500
0,2016-08-01,"""همراه اول""",32400
0,2016-09-01,"""همراه اول""",12900
0,2016-10-01,"""همراه اول""",17900
0,2016-11-01,"""همراه اول""",26200
0,2016-12-01,"""همراه اول""",33600
0,2017-01-01,"""همراه اول""",16200
0,2017-02-01,"""همراه اول""",29000
0,2017-03-01,"""همراه اول""",22100
0,2017-04-01,"""همراه اول""",9300
0,2017-05-01,"""همراه اول""",18200
0,2017-06-01,"""همراه اول""",19000
0,2017-07-01,"""همراه اول""",28200

,index,date,keyword,search_result
0,0,2017-08-01,"""همراه اول""",11500
1,0,2017-09-01,"""همراه اول""",29200
2,0,2017-10-01,"""همراه اول""",30400
3,0,2017-11-01,"""همراه اول""",50300
4,0,2017-12-01,"""همراه اول""",40200
5,0,2018-01-01,"""همراه اول""",67900
6,0,2018-02-01,"""همراه اول""",46100
7,0,2018-03-01,"""همراه اول""",22400
8,0,2018-04-01,"""همراه اول""",32100
9,0,2018-05-01,"""همراه اول""",39700
10,0,2018-06-01,"""همراه اول""",62200
11,0,2018-07-01,"""همراه اول""",31000
12,0,2018-08-01,"""همراه اول""",70500
13,0,2018-09-01,"""همراه اول""",62700
14,0,2018-10-01,"""همراه اول""",47100
15,0,2018-11-01,"""همراه اول""",28300
16,0,2018-12-01,"""همراه اول""",45500
17,0,2019-01-01,"""همراه اول""",59400
18,0,2019-02-01,"""همراه اول""",25400
19,0,2019-03-01,"""همراه اول""",45300
20,0,2019-04-01,"""همراه اول""",45500
21,0,2019-05-01,"""همراه اول""",41900
22,0,2019-06-01,"""همراه اول""",19800
23,0,2019-07-01,"""همراه اول""",50000
24,0,2019-08-01,"""همراه اول""",45700
25,0,2019-09-01,"""همراه اول""",50000
26,0,2019-10-01,"""همراه اول""",20700
27,0,2019-11-01,"""همراه اول""",46800
28,0,2019-12-01,"""همراه اول""",65400

,index,date,keyword,search_result
0,0,2020-01-01,"""همراه اول""",54200
1,0,2020-02-01,"""همراه اول""",29400
2,0,2020-03-01,"""همراه اول""",67300
3,0,2020-04-01,"""همراه اول""",51400
4,0,2020-05-01,"""همراه اول""",33100
5,0,2020-06-01,"""همراه اول""",75700
6,0,2020-07-01,"""همراه اول""",75400
7,0,2020-08-01,"""همراه اول""",63100
8,0,2020-09-01,"""همراه اول""",35300
9,0,2020-10-01,"""همراه اول""",68500
10,0,2020-11-01,"""همراه اول""",80800
11,0,2020-12-01,"""همراه اول""",91500
12,0,2021-01-01,"""همراه اول""",50000
13,0,2021-02-01,"""همراه اول""",108000
14,0,2021-03-01,"""همراه اول""",79800
15,0,2021-04-01,"""همراه اول""",46900
16,0,2021-05-01,"""همراه اول""",98000
17,0,2021-06-01,"""همراه اول""",103000
18,0,2021-07-01,"""همراه اول""",96700
19,0,2021-08-01,"""همراه اول""",41000
20,0,2021-09-01,"""همراه اول""",106000
21,0,2021-10-01,"""همراه اول""",131000
22,0,2021-11-01,"""همراه اول""",118000
23,0,2021-12-01,"""همراه اول""",65300

,date,keyword,search_result
0,2022-01-01,"""همراه اول""",99700
0,2022-02-01,"""همراه اول""",97200
0,2022-03-01,"""همراه اول""",59900
0,2022-04-01,"""همراه اول""",86400
0,2022-05-01,"""همراه اول""",103000
0,2022-06-01,"""همراه اول""",108000
0,2022-07-01,"""همراه اول""",72800
0,2022-08-01,"""همراه اول""",111000
0,2022-09-01,"""همراه اول""",101000
0,2022-10-01,"""همراه اول""",91600
0,2022-11-01,"""همراه اول""",51700
0,2022-12-01,"""همراه اول""",99200
0,2023-01-01,"""همراه اول""",97400
0,2023-02-01,"""همراه اول""",98400
0,2023-03-01,"""همراه اول""",40500
0,2023-04-01,"""همراه اول""",89800
0,2023-05-01,"""همراه اول""",161000
0,2023-06-01,"""همراه اول""",104000
0,2023-07-01,"""همراه اول""",237000
0,2023-08-01,"""همراه اول""",190000
0,2023-09-01,"""همراه اول""",198000
0,2023-10-01,"""همراه اول""",81400
0,2023-11-01,"""همراه اول""",178000
0,2023-12-01,"""همراه اول""",184000
0,2024-01-01,"""همراه اول""",173000
0,2024-02-01,"""همراه اول""",83100
0,2024-03-01,"""همراه اول""",178000
0,2024-04-01,"""همراه اول""",264000

,index,date,keyword,search_result
0,0,2024-05-01,"""همراه اول""",130000
1,0,2024-06-01,"""همراه اول""",116000
2,0,2024-07-01,"""همراه اول""",132000
