,index,date,keyword,search_result
0,0,2010-01-01,ایرانسل,1070
1,0,2010-02-01,ایرانسل,809
2,0,2010-03-01,ایرانسل,575
3,0,2010-04-01,ایرانسل,1110
4,0,2010-05-01,ایرانسل,1050
5,0,2010-06-01,ایرانسل,465
6,0,2010-07-01,ایرانسل,1210
7,0,2010-08-01,ایرانسل,1470
8,0,2010-09-01,ایرانسل,1640
9,0,2010-10-01,ایرانسل,684
10,0,2010-11-01,ایرانسل,1590
11,0,2010-12-01,ایرانسل,1760
12,0,2011-01-01,ایرانسل,1640
13,0,2011-02-01,ایرانسل,713
14,0,2011-03-01,ایرانسل,1730
15,0,2011-04-01,ایرانسل,1940
16,0,2011-05-01,ایرانسل,1800
17,0,2011-06-01,ایرانسل,1180
18,0,2011-07-01,ایرانسل,2090
19,0,2011-08-01,ایرانسل,3140
20,0,2011-09-01,ایرانسل,1480
21,0,2011-10-01,ایرانسل,2690
22,0,2011-11-01,ایرانسل,2390
23,0,2011-12-01,ایرانسل,2840
24,0,2012-01-01,ایرانسل,1340
25,0,2012-02-01,ایرانسل,3400
26,0,2012-03-01,ایرانسل,4200
27,0,2012-04-01,ایرانسل,3940
28,0,2012-05-01,ایرانسل,1590
29,0,2012-06-01,ایرانسل,3600
30,0,2012-07-01,ایرانسل,4560
31,0,2012-08-01,ایرانسل,3690
32,0,2012-09-01,ایرانسل,2310
33,0,2012-10-01,ایرانسل,3920
34,0,2012-11-01,ایرانسل,5120
35,0,2012-12-01,ایرانسل,2020
36,0,2013-01-01,ایرانسل,5530
37,0,2013-02-01,ایرانسل,5810
38,0,2013-03-01,ایرانسل,4980
39,0,2013-04-01,ایرانسل,2720
40,0,2013-05-01,ایرانسل,5860
41,0,2013-06-01,ایرانسل,6610
42,0,2013-07-01,ایرانسل,8900
43,0,2013-08-01,ایرانسل,3070
44,0,2013-09-01,ایرانسل,7020
45,0,2013-10-01,ایرانسل,6690
46,0,2013-11-01,ایرانسل,4060
47,0,2013-12-01,ایرانسل,6580
48,0,2014-01-01,ایرانسل,9850
49,0,2014-02-01,ایرانسل,8600
50,0,2014-03-01,ایرانسل,4460
51,0,2014-04-01,ایرانسل,6760
52,0,2014-05-01,ایرانسل,7190
53,0,2014-06-01,ایرانسل,9930
54,0,2014-07-01,ایرانسل,3740
55,0,2014-08-01,ایرانسل,8580
56,0,2014-09-01,ایرانسل,8550
57,0,2014-10-01,ایرانسل,7150
58,0,2014-11-01,ایرانسل,4060
59,0,2014-12-01,ایرانسل,7200
60,0,2015-01-01,ایرانسل,8600
61,0,2015-02-01,ایرانسل,4520
62,0,2015-03-01,ایرانسل,10200
63,0,2015-04-01,ایرانسل,10500
64,0,2015-05-01,ایرانسل,12700
65,0,2015-06-01,ایرانسل,5740
66,0,2015-07-01,ایرانسل,13600
67,0,2015-08-01,ایرانسل,13700
68,0,2015-09-01,ایرانسل,15000
69,0,2015-10-01,ایرانسل,6060
70,0,2015-11-01,ایرانسل,15200
71,0,2015-12-01,ایرانسل,12500
72,0,2016-01-01,ایرانسل,8130
73,0,2016-02-01,ایرانسل,17400
74,0,2016-03-01,ایرانسل,11100
75,0,2016-04-01,ایرانسل,11100
76,0,2016-05-01,ایرانسل,6270
77,0,2016-06-01,ایرانسل,15000
78,0,2016-07-01,ایرانسل,23200
79,0,2016-08-01,ایرانسل,20500
80,0,2016-09-01,ایرانسل,7320
81,0,2016-10-01,ایرانسل,19300
