,index,date,keyword,search_result
0,0,2010-01-01,همراه اول,15700
1,0,2010-02-01,همراه اول,18600
2,0,2010-03-01,همراه اول,8990
3,0,2010-04-01,همراه اول,19800
4,0,2010-05-01,همراه اول,18400
5,0,2010-06-01,همراه اول,7510
6,0,2010-07-01,همراه اول,18000
7,0,2010-08-01,همراه اول,23100
8,0,2010-09-01,همراه اول,21200
9,0,2010-10-01,همراه اول,10500
10,0,2010-11-01,همراه اول,17600
11,0,2010-12-01,همراه اول,22100
12,0,2011-01-01,همراه اول,23900
13,0,2011-02-01,همراه اول,10900
14,0,2011-03-01,همراه اول,22700
15,0,2011-04-01,همراه اول,27600
16,0,2011-05-01,همراه اول,27900
17,0,2011-06-01,همراه اول,16000
18,0,2011-07-01,همراه اول,30700
19,0,2011-08-01,همراه اول,25300
20,0,2011-09-01,همراه اول,13400
21,0,2011-10-01,همراه اول,34200
22,0,2011-11-01,همراه اول,32900
23,0,2011-12-01,همراه اول,30100
24,0,2012-01-01,همراه اول,16200
25,0,2012-02-01,همراه اول,26400
26,0,2012-03-01,همراه اول,30800
27,0,2012-04-01,همراه اول,49300
28,0,2012-05-01,همراه اول,17000
29,0,2012-06-01,همراه اول,40500
30,0,2012-07-01,همراه اول,34400
31,0,2012-08-01,همراه اول,34600
32,0,2012-09-01,همراه اول,18800
33,0,2012-10-01,همراه اول,40800
34,0,2012-11-01,همراه اول,53400
35,0,2012-12-01,همراه اول,26400
36,0,2013-01-01,همراه اول,61300
37,0,2013-02-01,همراه اول,60400
38,0,2013-03-01,همراه اول,67800
39,0,2013-04-01,همراه اول,28500
40,0,2013-05-01,همراه اول,59000
41,0,2013-06-01,همراه اول,73100
42,0,2013-07-01,همراه اول,80400
43,0,2013-08-01,همراه اول,49700
44,0,2013-09-01,همراه اول,74800
45,0,2013-10-01,همراه اول,81400
46,0,2013-11-01,همراه اول,38900
47,0,2013-12-01,همراه اول,66600
48,0,2014-01-01,همراه اول,87200
