,index,query,value,date,operator
0,0,سردار سلیمانی,71150,2020-01-01,ایرانسل
1,1,آهنگ پیشواز سردار سلیمانی ایرانسل,30000,2020-01-01,ایرانسل
2,2,طریقه وارد کردن شارژ ایرانسل,16250,2020-01-01,ایرانسل
3,3,نحوه فعال سازی اینترنت ایرانسل,14600,2020-01-01,ایرانسل
4,4,لغو بسته اینترنت ایرانسل,11400,2020-01-01,ایرانسل
5,5,سامانه ۸۰۰ ایرانسل,6450,2020-01-01,ایرانسل
6,6,کد لغو تبلیغات ایرانسل,4300,2020-01-01,ایرانسل
7,7,اینترنت به صرفه ایرانسل,300,2020-01-01,ایرانسل
8,8,خرید نت ایرانسل,250,2020-01-01,ایرانسل
9,9,کد وارد کردن شارژ ایرانسل,190,2020-01-01,ایرانسل
10,10,پرداخت قبض موبایل ایرانسل,170,2020-01-01,ایرانسل
11,11,حذف تبلیغات ایرانسل,160,2020-01-01,ایرانسل
12,12,کد استعلام شارژ ایرانسل,130,2020-01-01,ایرانسل
13,13,تنظیم اینترنت ایرانسل,130,2020-01-01,ایرانسل
14,14,طریقه انتقال شارژ ایرانسل,130,2020-01-01,ایرانسل
15,15,بانک ملت,130,2020-01-01,ایرانسل
16,16,روش انتقال اینترنت ایرانسل,120,2020-01-01,ایرانسل
17,17,انتقال شارژ همراه اول به ایرانسل,110,2020-01-01,ایرانسل
18,18,تست سرعت اینترنت,110,2020-01-01,ایرانسل
19,19,شماره تماس با اپراتور ایرانسل,110,2020-01-01,ایرانسل
20,20,تبدیل سیم کارت اعتباری ایرانسل به دائمی,100,2020-01-01,ایرانسل
21,21,انتقال شارژ ایرانسل به ایرانسل,100,2020-01-01,ایرانسل
22,22,تست سرعت اینترنت ایرانسل,80,2020-01-01,ایرانسل
23,23,irancell.ir,70,2020-01-01,ایرانسل
24,24,ارتباط با ایرانسل,70,2020-01-01,ایرانسل
25,0,اینترنت داخلی چیست,16150,2020-02-01,ایرانسل
26,1,بسته های اینترنت ایرانسل نامحدود ماهانه,8350,2020-02-01,ایرانسل
27,2,varzesh3,7750,2020-02-01,ایرانسل
28,3,دانلود تلگرام ایکس برای ایرانسل,7550,2020-02-01,ایرانسل
29,4,نحوه خرید بسته اینترنتی ایرانسل,6350,2020-02-01,ایرانسل
